Encabezados,name_w,year_w,price,user_score,type_w,region,alcohol_content,wine_grape,pk_score,pn_score,sk_score
75,Pago de los Capellanes Crianza, 2021,"26,90 €","4,6",Vino tinto,Ribera del Duero,"14,5%",Tempranillo,92 PK,93 PN,NA
76,Almirez, 2020,"21,50 €","4,3",Vino tinto,Toro,"14,5%",Tinta de Toro,93 PK,94 PN,91 SK
77,Mauro, 2021,"35,50 €","4,6",Vino tinto,Castilla y León,"14,5%",Tempranillo,94 PK,92 PN,NA
78,Matarromera Crianza, 2019,"23,80 €","4,5",Vino tinto,Ribera del Duero,"14,5%",Tempranillo,90 PK,91 PN,NA
79,Dominio de Atauta, 2020,"28,85 €","4,4",Vino tinto,Ribera del Duero,"15,0%",Tempranillo,94 PK,94 PN,94 SK
80,Juvé & Camps Reserva de la Familia, 2018,"18,95 €","4,7",Cava,DO Cava,"12,0%",Macabeo,NA,92 PN,91 SK
81,Carmelo Rodero Crianza, 2021,"24,90 €","4,5",Vino tinto,Ribera del Duero,"14,5%",Tempranillo,91 PK,91 PN,NA
82,Aalto PS, 2021,"87,95 €","4,8",Vino tinto,Ribera del Duero,"15,0%",Tempranillo,95 PK,94 PN,96 SK
83,Dominio del Águila Reserva, 2019,"67,80 €","4,9",Vino tinto,Ribera del Duero,"14,0%",Tempranillo,96 PK,96 PN,NA
84,Camins del Priorat, 2022,"25,45 €","4,5",Vino tinto,Priorat,"14,5%",Garnacha,91 PK,92 PN,92 SK
85,Honoro Vera Garnacha, 2022,"6,45 €","4,6",Vino tinto,Calatayud,"14,5%",Garnacha,NA,NA,NA
86,K-Naia, 2022,"7,20 €","4,4",Vino blanco,Rueda,"13,5%",Verdejo,NA,90 PN,NA
87,Bela, 2021,"11,70 €","3,0",Vino tinto,Ribera del Duero,"14,0%",Tempranillo,92 PK,NA,92 SK
88,Emilio Moro Finca Resalso, 2022,"9,60 €","4,3",Vino tinto,Ribera del Duero,"14,0%",Tempranillo,NA,90 PN,92 SK
89,Gessamí, 2023,"12,95 €","4,6",Vino blanco,Penedès,"11,0%",Moscatel de grano menudo,NA,90 PN,NA
90,Alaya Tierra, 2021,"25,95 €","4,9",Vino tinto,Almansa,"16,0%",Garnacha tintorera,92+ PK,92 PN,91 SK
91,La Celestina, 2019,"12,90 €","4,3",Vino tinto,Ribera del Duero,"14,5%",Tempranillo,91 PK,91 PN,NA
92,Sericis Monastrell, 2018,"10,50 €","4,4",Vino tinto,Alicante,"14,0%",Monastrell,NA,NA,NA
93,Abadía Retuerta Selección Especial, 2019,"32,50 €","4,6",Vino tinto,Abadía Retuerta,"14,5%",Tempranillo,93 PK,94 PN,94 SK
94,José Pariente Sauvignon Blanc, 2022,"10,50 €","4,5",Vino blanco,Rueda,"13,0%",Sauvignon blanc,NA,91 PN,NA
95,Viña Zorzal Garnacha Blanca, 2021,"7,50 €","3,8",Vino blanco,Navarra,"14,0%",Garnacha blanca,93 PK,90 PN,NA
96,La Nieta, 2021,"120,00 €","4,6",Vino tinto,Rioja,"14,5%",Tempranillo,97 PK,95 PN,NA
97,Recaredo Brut Nature Serral del Vell, 2018,"35,95 €","4,4",Cava,Corpinnat,"12,5%",Xarel·lo,95 PK,94 PN,NA
98,Carmelo Rodero 9 Meses, 2022,"14,90 €","4,5",Vino tinto,Ribera del Duero,"14,5%",Tempranillo,NA,90 PN,91 SK
99,La Celestina Vendimia Seleccionada, 2019,"14,50 €","4,5",Vino tinto,Ribera del Duero,"15,0%",Tempranillo,91+ PK,90 PN,NA
100,Marqués de Riscal Reserva, 2019,"16,90 €","4,4",Vino tinto,Rioja,"14,0%",Tempranillo,NA,94 PN,93 SK
101,Viña Cubillo, 2016,"15,50 €","4,4",Vino tinto,Rioja,"13,5%",Tempranillo,93 PK,NA,94 SK
102,Tragolargo, 2022,"7,70 €","3,9",Vino tinto,Alicante,"12,5%",Monastrell,91 PK,NA,NA
103,Vizcarra, 2020,"16,15 €","3,8",Vino tinto,Ribera del Duero,"14,5%",Tempranillo,92 PK,91 PN,NA
104,La Atalaya del Camino, 2021,"13,50 €","4,4",Vino tinto,Almansa,"15,0%",Garnacha tintorera,92 PK,NA,NA
105,Remelluri Reserva, 2015,"26,60 €","4,5",Vino tinto,Rioja,"14,0%",Tempranillo,93+ PK,93 PN,93 SK
106,Anahí Blanco, 2022,"6,95 €","4,6",Vino blanco,Rioja,"11,0%",Malvasía,NA,NA,NA
107,Juvé & Camps Brut Rosé,,No se encontró el elemento price,"4,4",Cava,DO Cava,"12,0%",Pinot noir,NA,NA,NA
108,Familia Oliveda Brut Jove,,"6,40 €","4,6",Cava,DO Cava,"11,5%",Macabeo,NA,NA,NA
109,Viñas del Vero Gewürztraminer, 2022,"11,50 €","4,4",Vino blanco,Somontano,"13,0%",Gewürztraminer,NA,90 PN,91 SK
110,Gramona III Lustros, 2015,"34,90 €","4,7",Cava,Corpinnat,"12,0%",Xarel·lo,94 PK,95 PN,NA
111,Casal de Armán Blanco, 2022,"13,50 €","4,0",Vino blanco,Ribeiro,"13,5%",Treixadura,NA,NA,NA
112,Emilio Moro, 2020,"20,90 €","4,4",Vino tinto,Ribera del Duero,"14,5%",Tempranillo,91 PK,93 PN,NA
113,Prima, 2020,"11,95 €","4,4",Vino tinto,Toro,"14,5%",Tinta de Toro,92+ PK,NA,NA
114,Circe Verdejo, 2022,"9,95 €","4,6",Vino blanco,Rueda,"12,5%",Verdejo,NA,NA,NA
115,Martín Códax Albariño, 2022,"14,50 €","4,6",Vino blanco,Rías Baixas,"12,5%",Albariño,NA,90 PN,NA
116,Quintaluna, 2020,"14,90 €","4,3",Vino blanco,Rueda,"14,0%",Verdejo,92 PK,90 PN,NA
117,Basa Blanco, 2022,"8,55 €","4,5",Vino blanco,Rueda,"13,5%",Verdejo,90 PK,NA,NA
118,Lindes de Remelluri Viñedos de San Vicente, 2020,"17,70 €","4,4",Vino tinto,Rioja,"13,5%",Tempranillo,92+ PK,92 PN,94 SK
119,Laya, 2022,"6,45 €","4,2",Vino tinto,Almansa,"14,5%",Garnacha tintorera,90 PK,90 PN,92 SK
120,Condado de Haza Crianza, 2020,"11,95 €","4,3",Vino tinto,Ribera del Duero,"14,5%",Tempranillo,NA,NA,93 SK
121,Primero de Fariña, 2023,"6,70 €","4,5",Vino de maceración carbónica,Toro,"14,0%",Tinta de Toro,NA,NA,NA
122,La Planta, 2022,"9,30 €","4,4",Vino tinto,Ribera del Duero,"14,0%",Tempranillo,90 PK,90 PN,91 SK
123,Casar de Burbia Godello, 2022,"12,50 €","4,4",Vino blanco,Bierzo,"13,5%",Godello,NA,NA,90 SK
124,Pago de los Capellanes Reserva, 2020,"40,80 €","4,8",Vino tinto,Ribera del Duero,"15,0%",Tempranillo,91 PK,94 PN,91 SK
125,Pícaro del Águila Tinto, 2021,"29,95 €","4,4",Vino tinto,Ribera del Duero,"14,0%",Tempranillo,95 PK,NA,NA
126,Cims de Porrera Vi de Vila, 2019,"16,95 €","4,3",Vino tinto,Priorat,"15,0%",Cariñena,90 PK,NA,NA
127,Cava Rimarts Martinez Brut Nature Rosé,,"13,95 €","4,6",Cava,DO Cava,"11,5%",Pinot noir,NA,NA,NA
128,Domaines Lupier La Dama, 2018,"35,95 €","4,5",Vino tinto,Navarra,"14,0%",Garnacha,97 PK,94 PN,NA
129,El Vínculo Crianza, 2019,"10,90 €","4,5",Vino tinto,La Mancha,"15,5%",Tempranillo,90 PK,NA,90 SK
130,Cutio Macabeo, 2021,"8,95 €","5,0",Vino blanco,Cariñena,"14,0%",Macabeo,92 PK,NA,92 SK
131,Vetus, 2019,"17,30 €","4,7",Vino tinto,Toro,"14,5%",Tinta de Toro,92 PK,93 PN,92 SK
132,Baigorri Crianza, 2019,"12,90 €","4,4",Vino tinto,Rioja,"14,5%",Tempranillo,NA,90 PN,92 SK
133,Adhuc Tempus Roble, 2021,"7,95 €","4,6",Vino tinto,Ribera del Duero,"14,0%",Tempranillo,NA,NA,NA
134,Altos de Torona Albariño, 2022,"11,50 €","4,4",Vino blanco,Rías Baixas,"13,0%",Albariño,NA,NA,NA
135,Francisco Barona, 2021,"34,90 €","5,0",Vino tinto,Ribera del Duero,"14,0%",Tempranillo,NA,NA,NA
136,Adernats Reserva Brut Nature,,"8,40 €","4,6",Cava,DO Cava,"11,5%",Macabeo,NA,NA,NA
137,Roda I, 2018,"51,90 €","4,9",Vino tinto,Rioja,"14,5%",Tempranillo,94 PK,93 PN,94 SK
138,Carles Andreu Gran Reserva Brut Nature, 2020,"12,90 €","4,5",Cava,DO Cava,"11,5%",Parellada,NA,NA,NA
139,Ritme, 2020,"14,90 €","4,6",Vino tinto,Priorat,"14,5%",Cariñena,91 PK,NA,NA
140,Luis Cañas Reserva, 2016,"17,25 €","4,5",Vino tinto,Rioja,"14,5%",Tempranillo,90 PK,92 PN,NA
141,Venta Las Vacas, 2021,"19,55 €","4,6",Vino tinto,Ribera del Duero,"14,5%",Tempranillo,90+ PK,93 PN,NA
142,Valduero 2 Maderas, 2019,"25,95 €","4,4",Vino tinto,Ribera del Duero,"14,0%",Tempranillo,NA,NA,NA
143,Bocchoris Brut Nature,,"5,95 €","4,4",Cava,DO Cava,"11,5%",Macabeo,NA,NA,NA
144,La Niña de Mis Ojos, 2022,"6,90 €","4,3",Vino blanco,Rioja,"12,0%",Sauvignon blanc,NA,NA,NA
145,Avan Oak, 2022,"6,70 €","4,6",Vino tinto,Ribera del Duero,"14,5%",Tempranillo,NA,NA,NA
146,Alta Alella Mirgin Rosé Reserva, 2019,"12,95 €","4,4",Cava,DO Cava,"12,0%",Mataró,NA,NA,NA
147,Llopart Integral Brut Nature, 2021,"16,25 €","4,3",Cava,Corpinnat,"11,5%",Parellada,NA,NA,NA
148,Carles Andreu Brut Nature Reserva, 2021,"8,95 €","4,6",Cava,DO Cava,"11,5%",Parellada,NA,NA,NA
149,Familia Valdelana Reserva, 2018,"11,95 €","4,3",Vino tinto,Rioja,"14,5%",Tempranillo,NA,NA,NA
150,Coto de Hayas Garnacha Centenaria, 2021,"11,95 €","4,5",Vino tinto,Campo de Borja,"14,5%",Garnacha,90 PK,90 PN,NA
151,Arzuaga Crianza, 2020,"22,95 €","4,6",Vino tinto,Ribera del Duero,"14,5%",Tempranillo,90 PK,90 PN,91 SK
152,Can Descregut Brut Nature Reserva, 2021,"10,90 €","3,4",Cava,Corpinnat,"11,5%",Xarel·lo,91 PK,NA,NA
153,Pasos de San Martín, 2019,"18,50 €","4,1",Vino tinto,Navarra,"14,5%",Garnacha,93 PK,95 PN,95 SK
154,Borsao Zarihs, 2019,"14,65 €","4,1",Vino tinto,Campo de Borja,"15,0%",Syrah,91 PK,NA,NA
155,Huguet Reserva Brut Nature, 2017,"14,90 €","4,2",Cava,Corpinnat,"12,0%",Parellada,92 PK,NA,NA
156,Artuke Pies Negros, 2021,"13,70 €","4,4",Vino tinto,Rioja,"14,0%",Tempranillo,92+ PK,92 PN,NA
157,Valduero Una Cepa, 2018,"33,50 €","5,0",Vino tinto,Ribera del Duero,"14,0%",Tempranillo,92 PK,92 PN,NA
158,Godeval Godello, 2022,"15,80 €","4,5",Vino blanco,Valdeorras,"13,5%",Godello,90 PK,91 PN,NA
159,LZ, 2022,"11,95 €","4,1",Vino tinto,Rioja,"14,0%",Tempranillo,92 PK,NA,92 SK
160,Valparaíso Roble, 2021,"7,90 €","3,0",Vino tinto,Ribera del Duero,"14,5%",Tempranillo,NA,NA,NA
161,Chivite Las Fincas Rosado, 2022,"12,85 €","4,2",Vino rosado,3 Riberas,"13,5%",Garnacha,NA,91 PN,90 SK
162,Dehesa la Granja, 2019,"9,50 €","4,5",Vino tinto,Castilla y León,"14,5%",Tempranillo,92 PK,NA,93 SK
163,Bozeto de Exopto, 2022,"8,70 €","4,1",Vino tinto,Rioja,"14,5%",Garnacha,92 PK,NA,92 SK
164,Castro Ventosa Valtuille Vino de Villa, 2021,"15,90 €","4,3",Vino tinto,Bierzo,"13,5%",Mencía,94 PK,NA,NA
165,Bertha Brut Nature Reserva, 2021,"12,80 €","4,3",Cava,DO Cava,"11,5%",Macabeo,NA,NA,90 SK
166,Lalama, 2020,"19,95 €","4,4",Vino tinto,Ribeira Sacra,"13,0%",Mencía,93+ PK,94 PN,NA
167,Lapola, 2021,"22,95 €","4,1",Vino blanco,Ribeira Sacra,"13,0%",Doña blanca,93 PK,92 PN,NA
168,4 Monos GR10, 2021,"12,95 €","3,6",Vino tinto,Vinos de Madrid,"13,5%",Garnacha,93 PK,NA,NA
169,Ramón Bilbao Reserva, 2016,"14,90 €","4,6",Vino tinto,Rioja,"14,0%",Tempranillo,91+ PK,92 PN,NA
170,Protos Crianza, 2019,"17,50 €","4,4",Vino tinto,Ribera del Duero,"14,5%",Tempranillo,NA,93 PN,91 SK
171,La Vizcaína El Rapolao, 2021,"21,90 €","3,9",Vino tinto,Bierzo,"13,5%",Mencía,95 PK,94 PN,NA
172,Acústic, 2020,"13,20 €","4,3",Vino tinto,Montsant,"14,0%",Samsó,90 PK,92 PN,NA
173,Flor de Vetus, 2019,"9,95 €","4,2",Vino tinto,Toro,"14,5%",Tinta de Toro,91 PK,92 PN,93 SK
174,Viña Zorzal Malayeto, 2021,"14,40 €","3,9",Vino tinto,Navarra,"14,0%",Garnacha,94 PK,94 PN,NA
175,La Petite Agnès, 2021,"12,50 €","4,5",Vino tinto,Priorat,"14,5%",Garnacha,NA,NA,NA
176,Casar de Burbia Mencía, 2019,"9,95 €","4,0",Vino tinto,Bierzo,"14,5%",Mencía,90 PK,90 PN,91 SK
177,Protos Verdejo, 2022,"7,50 €","4,4",Vino blanco,Rueda,"13,0%",Verdejo,NA,90 PN,92 SK
178,Ossian, 2021,"32,50 €","4,8",Vino blanco,Castilla y León,"13,5%",Verdejo,94 PK,93 PN,93 SK
179,Luna Beberide Mencía, 2023,"5,95 €","4,1",Vino tinto,Bierzo,"12,9%",Mencía,91 PK,91 PN,NA
180,Raventós i Blanc Blanc de Blancs, 2021,"15,55 €","4,6",Cava,Conca del Riu Anoia,"12,0%",Macabeo,92 PK,NA,NA
181,Guímaro, 2022,"11,20 €","3,9",Vino tinto,Ribeira Sacra,"13,0%",Mencía,92 PK,NA,NA
182,Gago, 2019,"19,55 €","3,9",Vino tinto,Toro,"14,0%",Tinta de Toro,92+ PK,92 PN,NA
183,La Forcallà de Antonia, 2021,"12,90 €","4,1",Vino tinto,Valencia,"14,5%",Forcayat del arco,93 PK,NA,NA
184,Familia Oliveda Brut Rosat,,"6,40 €","4,7",Cava,DO Cava,"11,5%",Garnacha,NA,NA,NA
185,Montecastro, 2020,"20,50 €","4,3",Vino tinto,Ribera del Duero,"15,0%",Tempranillo,92 PK,NA,NA
186,Sembro, 2022,"8,95 €","4,4",Vino tinto,Ribera del Duero,"14,0%",Tempranillo,NA,NA,NA
187,Viña Pomal Crianza, 2020,"8,95 €","3,8",Vino tinto,Rioja,"14,5%",Tempranillo,90 PK,NA,NA
188,Cunqueiro III Milenium, 2022,"12,95 €","4,3",Vino blanco,Ribeiro,"12,5%",Treixadura,NA,NA,NA
189,Viñas Elías Mora, 2021,"9,80 €","4,2",Vino tinto,Toro,"14,5%",Tinta de Toro,90 PK,91 PN,NA
190,Viña Costeira Colección 68, 2022,"9,75 €","4,0",Vino blanco,Ribeiro,"12,5%",Treixadura,NA,NA,NA
191,Ramón Bilbao Verdejo, 2023,"7,50 €","4,3",Vino blanco,Rueda,"13,0%",Verdejo,NA,90 PN,NA
192,Avancia Godello, 2022,"26,95 €","4,8",Vino blanco,Valdeorras,"13,5%",Godello,92 PK,93 PN,NA
193,Godelia Godello, 2022,"10,95 €","4,3",Vino blanco,Bierzo,"13,5%",Godello,NA,NA,90 SK
194,Cygnus Deneb Brut Nature Reserva - sin sulfitos añadidos,,"11,95 €","4,8",Cava,DO Cava,"11,5%",Xarel·lo,NA,NA,NA
195,Viña Pedrosa Crianza, 2020,"21,90 €","3,8",Vino tinto,Ribera del Duero,"14,0%",Tempranillo,92 PK,NA,NA
196,La del Vivo, 2022,"21,50 €","4,6",Vino blanco,Bierzo,"13,5%",Godello,95+ PK,91 PN,NA
197,Fariña Lágrima, 2021,"8,40 €","4,6",Vino tinto,Toro,"14,0%",Tinta de Toro,NA,91 PN,NA
198,Godina, 2021,"19,90 €","5,0",Vino tinto,Campo de Borja,"16,0%",Garnacha,90 PK,93 PN,NA
199,Terrer de la Creu Brut Nature,,"8,40 €","5,0",Cava,DO Cava,"12,0%",Macabeo,NA,NA,NA
200,Vizcarra Senda del Oro, 2022,"10,35 €","4,2",Vino tinto,Ribera del Duero,"14,5%",Tempranillo,90 PK,90 PN,NA
201,Albariño Paco & Lola, 2022,"13,95 €","4,4",Vino blanco,Rías Baixas,"13,0%",Albariño,NA,90 PN,NA
202,Hacienda Monasterio, 2021,"40,50 €","4,7",Vino tinto,Ribera del Duero,"15,0%",Tempranillo,94+ PK,NA,NA
203,Ilercavònia, 2022,"9,95 €","4,4",Vino blanco,Terra Alta,"13,5%",Garnacha blanca,NA,NA,92 SK
204,Davide Albariño, 2022,"22,80 €","4,5",Vino blanco,Rías Baixas,"13,0%",Albariño,NA,NA,NA
205,Evodia, 2021,"7,90 €","4,3",Vino tinto,Calatayud,"14,5%",Garnacha,91+ PK,NA,NA
206,Leopardi Gran Reserva Vintage, 2017,"25,60 €","4,5",Cava,Corpinnat,"11,5%",Macabeo,92 PK,92 PN,NA
207,José Pariente Verdejo Fermentado en Barrica, 2022,"18,40 €","4,4",Vino blanco,Rueda,"13,5%",Verdejo,91 PK,91 PN,NA
208,Casa Castillo La Tendida, 2021,"13,90 €","4,0",Vino tinto,Jumilla,"14,5%",Monastrell,93+ PK,93 PN,NA
